Fecha	Descripcion	Retiro	Abono
02/09/2013	D INT 0300813    FACT 455277                              AUT.00012176		"1,998.00"
02/09/2013	"DEPOS 0000022632 PEDRO LUIS,SOTO/TEJEDA                   AUT.00022632"		22.11
02/09/2013	      0000000000 DEPOSITO EN EFECTIV SUC. JARDINES MORELO AUT.00929048		"20,000.00"
02/09/2013	DEPOS 0108615    PAGO RECIBIDO DE    108615 ABONO PAGO A  AUT.00005227		"33,300.00"
02/09/2013	D INT 6007498    Fact 447698y 447697                      AUT.00055894		"3,396.60"
02/09/2013	      0000189958 CGO IDE PER ACT AGO 189958 CARGO IDE PER AUT.00189958	"38,710.00"	
02/09/2013	DEPOS 2000003642 PAGO RECIBIDO DE    230005001 SERVICIOS  AUT.00064671		"38,875.98"
02/09/2013	DEPOS 0075005    Liverpool Pago Terceros                  AUT.00118961		"3,623.40"
02/09/2013	D INT 0029882    GAS 2 09 13                              AUT.00088689		"5,002.40"
02/09/2013	      0000000000 DEPOSITO EN EFECTIV SUC. CD AZTECA EDO M AUT.00993338		"16,610.00"
02/09/2013	DEPOS 2000002685 PAGO RECIBIDO DE    230011001 SERVICIOS  AUT.00139824		"4,317.04"
02/09/2013	      0000000000 DEP MIXTO EFVO/DOCT  SUC. TLAHUAC DF     AUT.00991165		"2,100.23"
02/09/2013	"      0000000000 DEP CHEQUE BNM      2,100.23             AUT.00991165"		0
02/09/2013	      0000000000 DEP MIXTO EFVO/DOCT  SUC. TLAHUAC DF     AUT.00991167		"2,113.65"
02/09/2013	"      0000000000 DEP CHEQUE BNM      2,113.65             AUT.00991167"		0
02/09/2013	      0000000000 DEP MIXTO EFVO/DOCT  SUC. TACUBAYA DF    AUT.00619751		"1,100.44"
02/09/2013	"      0000000000 DEP CHEQUE BNM      1,100.44             AUT.00619751"		0
02/09/2013	DEPOS 0000194129 PAGO DE FACT. HGE 100000                 AUT.00194129		"7,752.00"
02/09/2013	DEPOS 0009815821 LA LENA ARGENTINA E9815821               AUT.00218274		"1,764.36"
02/09/2013	DEPOS 0000020913 UNIENVASES RECTIFICADOS SA DE CV         AUT.00243805		"75,614.04"
03/09/2013	DEPOS 0000030913 PAGO ZAMUDIO E9809681                    AUT.00071568		608.4
03/09/2013	DEPOS 0000072661 PAGO ZAMUDIO E 9820917                   AUT.00072661		"4,799.60"
03/09/2013	DEPOS 2000003814 PAGO RECIBIDO DE    230011036 SERVICIOS  AUT.00074418		"73,288.87"
03/09/2013	DEPOS 0000309132 FACTURAS A466953 AA466955                AUT.00103811		"83,421.13"
03/09/2013	DEPOS 0000132585 GAS METROPOLITANO F465546                AUT.00132585		254.98
03/09/2013	      0000008135 DEPOSITO DE         8135 SUC. LOS OLIVOS AUT.00171138		"6,374.50"
03/09/2013	"      0000008135 DEP CHEQUE BNM      6,374.50             AUT.00171138"		0
03/09/2013	"DEPOS 0000194909 MA DE LOS ANGELES,MARQUEZ/OLVERA         AUT.00194909"		"4,000.00"
04/09/2013	D INT 0017913    Consorcio Industrial Mexicanos 000001791 AUT.00010545		"114,479.52"
04/09/2013	D INT 5798822    FACT 396885 P SERV GAS LP                AUT.00074141		"9,080.72"
04/09/2013	D INT 5798830    FACT 449038 P SERV GAS LP                AUT.00074147		"15,141.28"
04/09/2013	D INT 5798840    FACT 458816 P SERV GAS LP                AUT.00074155		"5,216.40"
04/09/2013	D INT 5798850    FACTS 432679 450372 P SERV GAS LP        AUT.00074161		"13,289.92"
04/09/2013	D INT 5798859    FACT 422979 P SERV GAS LP                AUT.00074167		"8,696.52"
04/09/2013	D INT 5798868    FACT 437627 P SERV GAS LP                AUT.00074175		"13,394.05"
04/09/2013	D INT 5800245    ferco                                    AUT.00074845		"2,831.76"
04/09/2013	D INT 5801721    mi pan                                   AUT.00075531		"1,403.46"
04/09/2013	D INT 5801914    elimol                                   AUT.00075677		"2,409.48"
04/09/2013	D INT 5804603    paco alim                                AUT.00077218		"31,773.45"
04/09/2013	DEPOS 2000003501 PAGO RECIBIDO DE    230007004 SERVICIOS  AUT.00020097		"142,373.03"
04/09/2013	DEPOS 0000040913 040913                                   AUT.00069344		"1,000.00"
04/09/2013	      0000002004 COMIS CH CERTIFICAD 2004                 AUT.00043275	179.8	
04/09/2013	      0000005741 CHQ CERTIFICADO NUM 5741                 AUT.00043276	"106,346.24"	
04/09/2013	      0000002004 COMIS CH CERTIFICAD 2004                 AUT.00043283	179.8	
04/09/2013	      0000005758 CHQ CERTIFICADO NUM 5758                 AUT.00043284	"35,902.87"	
04/09/2013	      0000005761 CHQ CERTIFICADO NUM 5761                 AUT.00043292	"52,760.38"	
04/09/2013	      0000002004 COMIS CH CERTIFICAD 2004                 AUT.00043291	179.8	
04/09/2013	"      0000000000 DEPOSITO EN EFECTIV SUC. PLAZA ORIENTE,D AUT.00816492"		"1,040.00"
04/09/2013	D INT 8102715    AROMATICAS                               AUT.00146013		"1,565.10"
04/09/2013	      0004049060 DEPOSITO DE         4049060 SUC. VIVEROS AUT.00755144		"20,338.01"
04/09/2013	"      0004049060 DEP CHEQUE BNM      20,338.01            AUT.00755144"		0
05/09/2013	      0000001589 COMISION            1589 PAGO INT MDIA<1 AUT.00001504	120	
05/09/2013	      0000001589 IVA COMISION        1589                 AUT.00001504	19.2	
05/09/2013	      0000012873 COMISION            12873 PAGO INT MDIA> AUT.00012728	126	
05/09/2013	      0000012873 IVA COMISION        12873                AUT.00012728	20.16	
05/09/2013	DEPOS 0000071957 99539839082100003087 2100003             AUT.00071957		"46,630.08"
05/09/2013	D INT 0005123    452689 452690 454247                     AUT.00108650		"8,325.00"
05/09/2013	D INT 0060864    SPEI PAGO ABASTECIMIENTO AGOSTO          AUT.00110977		"450,001.44"
05/09/2013	      0002080657 TRASPASO REF        2080657 ***DESCUENTO AUT.00080657		"115,411.89"
05/09/2013	DEPOS 0000105514 GAS METROPOLITANO                        AUT.00105514		"8,251.99"
05/09/2013	DEPOS 0108921    I T E S M                                AUT.00199199		"41,228.19"
05/09/2013	DEPOS 0109657    I T E S M                                AUT.00199204		"46,724.04"
05/09/2013	DEPOS 0000000000 PAGO RECIBIDO DE    232628006 RINPLAY S  AUT.00125624		"10,863.49"
05/09/2013	DEPOS 3202755    PAGO A VALE A REVISI?N                   AUT.00219455		"10,189.34"
05/09/2013	DEPOS 3195390    PAGO A VALE A REVISI?N                   AUT.00219483		"9,510.04"
05/09/2013	DEPOS 3202756    PAGO A VALE A REVISI?N                   AUT.00219587		"7,245.74"
05/09/2013	D INT 0130905    SPEI INBURSA                             AUT.00134399		"3,996.00"
05/09/2013	"DEPOS 0004277    CAB LOGISTICS, S.A. DE C.V.              AUT.00287513"		"5,448.52"
05/09/2013	D INT 0783667    F467873 465925 466585 466584 465316 EFA  AUT.00172194		"98,615.40"
05/09/2013	DEPOS 0000050913 050913                                   AUT.00218489		"13,320.00"
06/09/2013	D INT 5835665    pago a proveedores                       AUT.00205674		"3,502.62"
06/09/2013	DEPOS 0006019065 60190652                                 AUT.00023315		"3,180.89"
06/09/2013	D INT 0003025    PAGO DESIGMA                             AUT.00216949		"432,523.76"
06/09/2013	DEPOS 0050913    F606                                     AUT.00173019		"5,663.24"
06/09/2013	D INT 0468887    F468887                                  AUT.00234473		"6,702.54"
06/09/2013	DEPOS 0000102046 GME540707                                AUT.00069510		"6,402.56"
06/09/2013	DEPOS 0000000100 PAGO RECIBIDO DE    3957736229 SERVICIOS AUT.00085276		"1,040.05"
06/09/2013	D INT 0063732    EMOR GAS METROPOLITANA                   AUT.00274641		"19,861.60"
06/09/2013	      0000005763 CHQ CERTIFICADO NUM 5763                 AUT.00044315	"85,590.35"	
06/09/2013	      0000002004 COMIS CH CERTIFICAD 2004                 AUT.00044314	179.8	
06/09/2013	DEPOS 0000012345 TRASP DE 3057 A 10861 BANAMEX            AUT.00127801		"285,000.00"
06/09/2013	DEPOS 0000129758 TRASP DE 7892 A 10861 BANAMEX            AUT.00129758		"840,000.00"
06/09/2013	DEPOS 0000000609 PAGO ALTESA CR14937 14547                AUT.00110881		"120,019.90"
06/09/2013	P INT 0012345    TRASPASO CONCENTRADORA BANORTE           AUT.00132296	"3,300,000.00"	
06/09/2013	"      0000000000 DEP MIXTO EFVO/DOCT  SUC. SAN PABLO,DF   AUT.00707100"		"9,134.19"
06/09/2013	"      0000000000 DEP CHEQUE BNM      9,134.19             AUT.00707100"		0
06/09/2013	DEPOS 0000999999 GAS METROPOLITANO                        AUT.00175300		"27,343.25"
06/09/2013	"DEPOS 0000204238 MA DE LOS ANGELES,MARQUEZ/OLVERA         AUT.00204238"		"18,000.00"
06/09/2013	DEPOS 0000000003 CORRUFACIL SA DE CV                      AUT.00210752		"13,792.86"
06/09/2013	DEPOS 0000213505 913028                                   AUT.00213505		"51,947.22"
06/09/2013	"DEPOS 0000222854 MA DE LOS ANGELES,MARQUEZ/OLVERA         AUT.00222854"		"1,000.00"
06/09/2013	DEPOS 0000060913 060913 FACTURA 459784                    AUT.00225790		"19,250.98"
06/09/2013	DEPOS 0002120116 PAGO F468478 470440 GAS METROP           AUT.00230047		"13,305.10"
09/09/2013	      0000000000 DEPOSITO S.B.C.      SUC. LAZARO CARDENA AUT.00013665		"6,737.12"
09/09/2013	      0000005766 COBRO CHEQUE NUMERO 5766                 AUT.00115342	260.5	
09/09/2013	DEPOS 2000003747 PAGO RECIBIDO DE    230005001 SERVICIOS  AUT.00029287		"40,055.58"
09/09/2013	DEPOS 0004034477 99540344772000015176 2000015             AUT.00039221		"2,999.37"
09/09/2013	D INT 0000002    2 do pago                                AUT.00193625		"8,627.67"
09/09/2013	D INT 0000078    GAS 09 09 13                             AUT.00194055		"5,002.40"
09/09/2013	DEPOS 0000054579 FAC 103519 103520                        AUT.00054579		"6,166.49"
09/09/2013	      0000000000 DEPOSITO EN EFECTIV SUC. CD AZTECA EDO M AUT.00996834		"22,585.00"
09/09/2013	DEPOS 0000090913 PAGO DE FACT. HGE 100610                 AUT.00105875		"7,752.00"
09/09/2013	DEPOS 0000090913 PAGO FACTURAS                            AUT.00139874		"4,360.20"
09/09/2013	DEPOS 0000004347 GEM540707CD1                             AUT.00141568		"5,995.00"
09/09/2013	      0502336541 DEPOSITO DE         502336541 SUC. CAMPE AUT.00737532		627
09/09/2013	      0502336541 DEP EN EFECTIVO     627.00               AUT.00737532		0
09/09/2013	"DEPOS 0000151666 MA DE LOS ANGELES,MARQUEZ/OLVERA         AUT.00151666"		"2,000.00"
09/09/2013	D INT 0090913    GAS METROPOLITANO                        AUT.00279881		"1,677.50"
09/09/2013	DEPOS 0009838856 LA LENA ARGENTINA E9838856               AUT.00177307		"1,730.56"
09/09/2013	DEPOS 0005267    COEX-GAS METRO                           AUT.00151961		"14,198.36"
10/09/2013	D INT 5885486    mi pan                                   AUT.00007857		"2,844.18"
10/09/2013	D INT 5886132    ferco                                    AUT.00008400		"19,556.16"
10/09/2013	      0000000000 DEP MIXTO EFVO/DOCT  SUC. TEPEXPAN EDO M AUT.00888280		"1,690.74"
10/09/2013	"      0000000000 DEP CHEQUE BNM      1,690.74             AUT.00888280"		0
10/09/2013	DEPOS 0000045718 HGE 104653                               AUT.00045718		"2,180.75"
10/09/2013	DEPOS 0000148742 SM100913                                 AUT.00148742		"4,221.01"
10/09/2013	      0000008135 DEPOSITO DE         8135 SUC. LOS OLIVOS AUT.00175116		"11,356.80"
10/09/2013	"      0000008135 DEP CHEQUE BNM      11,356.80            AUT.00175116"		0
10/09/2013	DEPOS 0000153777 GAS METROPOLITANO F470629 612            AUT.00153777		711.26
10/09/2013	      0000000000 DEP MIXTO EFVO/DOCT  SUC. EXHIBIMEX DF   AUT.00734371		"90,000.00"
10/09/2013	"      0000000000 DEP CHEQUE BNM      90,000.00            AUT.00734371"		0
10/09/2013	"DEPOS 0000000000 MA DE LOS ANGELES,MARQUEZ/OLVERA         AUT.00178268"		"1,800.00"
11/09/2013	      0000000000 DEPOSITO S.B.C.      SUC. EXHIBIMEX DF   AUT.00013237		"80,000.00"
11/09/2013	D INT 0100913    GAS AA450680                             AUT.00011121		"1,438.56"
11/09/2013	D INT 5896002    paco alim                                AUT.00012690		"38,587.81"
11/09/2013	D INT 5900071    FACT 423947 P SERV GAS LP                AUT.00015005		"7,904.82"
11/09/2013	D INT 5900103    FACT 459936 P SERV GAS LP                AUT.00015037		"5,489.64"
11/09/2013	D INT 5900113    FACT 451096 P SERV GAS LP                AUT.00015051		"12,929.84"
11/09/2013	D INT 5900124    FACT 434501 P SERV GAS LP                AUT.00015059		"4,177.80"
11/09/2013	D INT 5900133    FACT 462747 P SERV GAS LP                AUT.00015069		"5,520.69"
11/09/2013	      5400051471 SEGUROS BANAMEX 1   325400051471 ACCIDEN AUT.00051471	104.52	
11/09/2013	      5400051470 SEGUROS BANAMEX 1   325400051470 ACCIDEN AUT.00051470	104.52	
11/09/2013	"      0000000000 DEP MIXTO EFVO/DOCT  SUC. LOS OLIVOS,DF  AUT.00175284"		"14,768.71"
11/09/2013	"      0000000000 DEP CHEQUE BNM      14,768.71            AUT.00175284"		0
11/09/2013	DEPOS 0000090201 GAS METROPOLITANO                        AUT.00052282		"1,865.76"
11/09/2013	      0002088743 TRASPASO REF        2088743 ***DESCUENTO AUT.00088743		"114,604.84"
11/09/2013	DEPOS 0000063279 DISTRIBUIDORA LEVIC S DE RL DE CV        AUT.00063279		"6,002.88"
11/09/2013	"      0000000000 DEPOSITO EN EFECTIV SUC. PLAZA ORIENTE,D AUT.00822139"		965
11/09/2013	"DEPOS 0000000000 ROSA ISELA,LUNA/VILLALOBOS               AUT.00120002"		"6,193.80"
11/09/2013	DEPOS 0004077319 9954077319MXLMX7510004806 4077319        AUT.00138340		"19,459.00"
11/09/2013	D INT 0003400    REM. E9661163                            AUT.00119969		"20,434.00"
11/09/2013	D INT 0004000    REM. E9669605                            AUT.00121053		"24,040.00"
11/09/2013	DEPOS 0001109131 AA470887                                 AUT.00144217		"66,798.34"
11/09/2013	D INT 0003000    REM. E9677309                            AUT.00121895		"18,030.00"
11/09/2013	D INT 0002850    REM. E9683799                            AUT.00122497		"17,128.50"
11/09/2013	D INT 0003300    REM. E9693838                            AUT.00123119		"19,833.00"
11/09/2013	      0004049060 DEPOSITO DE         4049060 SUC. VIVEROS AUT.00760503		"20,230.65"
11/09/2013	"      0004049060 DEP CHEQUE BNM      20,230.65            AUT.00760503"		0
11/09/2013	D INT 5134563    aromaticas                               AUT.00125782		"1,884.78"
11/09/2013	DEPOS 0004080734 99540807344719859 4080734                AUT.00156309		"149,033.34"
11/09/2013	"DEPOS 0000162483 MA DE LOS ANGELES,MARQUEZ/OLVERA         AUT.00162483"		"1,000.00"
