Num	Fecha	Tipo	Autorizacion	Codigo1	Codigo2	Sucursal	Referencia	Referencia Alfanumerica	Importe
1	09/05/2014	C	134939	51	2	870	2080010861	TRASPS DE 7892 A 108	"660,000.00"
2	09/05/2014	A	3312	15	0	6560	5023293896	5023293896	238.00
3	09/05/2014	A	3312	7	31	6560	5023293896	238	0.00
4	09/05/2014	A	4157	15	0	5986	5025901686	5025901686	120.00
5	09/05/2014	A	4157	7	31	5986	5025901686	120	0.00
6	09/05/2014	A	4322	17	0	870	5026652973	11091	587.00
7	09/05/2014	A	4325	17	0	870	5026652957	11070	"1,943.00"
8	09/05/2014	A	5127	15	0	5983	5023645921	5023645921	203.00
9	09/05/2014	A	5127	7	31	5983	5023645921	203	0.00
10	09/05/2014	A	8826	15	0	5982	5026824465	5026824465	234.00
11	09/05/2014	A	8826	7	31	5982	5026824465	234	0.00
12	09/05/2014	A	11133	17	0	859	893976	PAGO DE MARZO SAN JU	"2,712.00"
13	09/05/2014	A	11225	17	0	859	6683994	5026683994	249.00
14	09/05/2014	A	12919	15	0	65	5023609133	5023609133	486.00
15	09/05/2014	A	12919	7	31	65	5023609133	486	0.00
16	09/05/2014	A	36807	15	0	4337	5023309874	5023309874	60.00
17	09/05/2014	A	36807	7	31	4337	5023309874	60	0.00
18	09/05/2014	A	36963	15	0	5438	5026824663	5026824663	340.00
19	09/05/2014	A	36963	7	31	5438	5026824663	340	0.00
20	09/05/2014	A	42010	15	0	194	5023496143	5023496143	295.00
21	09/05/2014	A	42010	7	31	194	5023496143	295	0.00
22	09/05/2014	A	44714	15	0	4312	5023743742		334.00
23	09/05/2014	A	44714	7	31	4312	5023743742	334	0.00
24	09/05/2014	A	47384	15	0	9111	5026740059	5026740059	57.00
25	09/05/2014	A	47384	7	31	9111	5026740059	57	0.00
26	09/05/2014	A	49859	15	0	9820	5026394774	5026394774	403.00
27	09/05/2014	A	49859	7	31	9820	5026394774	403	0.00
28	09/05/2014	A	88143	15	0	959	5025901629	5025901629	325.00
29	09/05/2014	A	88143	7	31	959	5025901629	325	0.00
30	09/05/2014	A	88342	15	0	959	5023122277	5023122277	98.00
31	09/05/2014	A	88342	7	31	959	5023122277	98	0.00
32	09/05/2014	A	88555	15	0	959	1000012813	1000012813	646.00
33	09/05/2014	A	88555	7	31	959	1000012813	646	0.00
34	09/05/2014	A	89103	15	0	7396	5023896417	5023896417	330.00
35	09/05/2014	A	89103	7	31	7396	5023896417	330	0.00
36	09/05/2014	A	93177	15	0	681	5023298994	5023298994	112.00
37	09/05/2014	A	93177	7	31	681	5023298994	112	0.00
38	09/05/2014	A	96271	15	0	4627	1000032704	1000032704	413.00
39	09/05/2014	A	96271	7	31	4627	1000032704	413	0.00
40	09/05/2014	A	96938	15	0	690	1000044097	1000044097	167.00
41	09/05/2014	A	96938	7	31	690	1000044097	167	0.00
42	09/05/2014	A	98459	15	0	333	5023123010	5023123010	190.00
43	09/05/2014	A	98459	7	31	333	5023123010	190	0.00
44	09/05/2014	A	107626	15	0	6458	5026169887	5026169887	305.00
45	09/05/2014	A	107626	7	31	6458	5026169887	305	0.00
