Fecha|Descripcion|Retiro|Abono
02/09/2013|      0230082013 DEP DOCUMENTOS BNM  230082013 SUC. DEPOS AUT.00851951||335.50
02/09/2013|      0130082013 DEP DOCUMENTOS BNM  130082013 SUC. DEPOS AUT.00851954||1,948.06
02/09/2013|      0730082013 DEP DOCUMENTOS BNM  730082013 SUC. DEPOS AUT.00851959||26,038.86
02/09/2013|      0000000876 CARGO X DEV CHQ BNM 876                  AUT.00851958|1,248.06|
02/09/2013|      0000001149 CARGO X DEV CHQ BNM 1149                 AUT.00851973|1,174.25|
02/09/2013|      0230082013 DEP DOCUMENTOS BNM  230082013 SUC. DEPOS AUT.00851994||127,565.16
02/09/2013|      0731082013 DEP DOCUMENTOS BNM  731082013 SUC. DEPOS AUT.00861063||700.00
02/09/2013|      0231082013 DEP DOCUMENTOS BNM  231082013 SUC. DEPOS AUT.00861066||6,627.86
02/09/2013|      0731082013 DEP DOCUMENTOS BNM  731082013 SUC. DEPOS AUT.00861079||32,022.43
02/09/2013|      0000000000 DEP MIXTO EFVO/DOCT  SUC. INDUST XALOSTO AUT.00659800||1,500.00
02/09/2013|      0000000000 DEP CHEQUE BNM      1,500.00             AUT.00659800||0.00
02/09/2013|      0000000000 DEP MIXTO EFVO/DOCT  SUC. INDUST XALOSTO AUT.00659804||1,603.69
02/09/2013|      0000000000 DEP CHEQUE BNM      1,603.69             AUT.00659804||0.00
02/09/2013|      0000000000 DEP MIXTO EFVO/DOCT  SUC. INDUST XALOSTO AUT.00659806||1,500.00
02/09/2013|      0000000000 DEP CHEQUE BNM      1,500.00             AUT.00659806||0.00
02/09/2013|      0000000000 DEP MIXTO EFVO/DOCT  SUC. INDUST XALOSTO AUT.00659811||9,374.00
02/09/2013|      0000000000 DEP CHEQUE BNM      9,374.00             AUT.00659811||0.00
02/09/2013|      0000000000 DEP MIXTO EFVO/DOCT  SUC. INDUST XALOSTO AUT.00659813||4,999.68
02/09/2013|      0000000000 DEP CHEQUE BNM      4,999.68             AUT.00659813||0.00
02/09/2013|P INT 0012345    192815.56                                AUT.00132080|192,815.56|
03/09/2013|      0702092013 DEP DOCUMENTOS BNM  702092013 SUC. DEPOS AUT.00851317||1,070.00
03/09/2013|      0702092013 DEP DOCUMENTOS BNM  702092013 SUC. DEPOS AUT.00851322||16,531.09
03/09/2013|      0202092013 DEP DOCUMENTOS BNM  202092013 SUC. DEPOS AUT.00851347||59,874.07
03/09/2013|      0000000000 DEP MIXTO EFVO/DOCT  SUC. SAN JUANICO ED AUT.00725375||5,910.00
03/09/2013|      0000000000 DEP CHEQUE BNM      5,910.00             AUT.00725375||0.00
03/09/2013|      0000000000 DEP MIXTO EFVO/DOCT  SUC. SAN JUANICO ED AUT.00725377||1,200.00
03/09/2013|      0000000000 DEP CHEQUE BNM      1,200.00             AUT.00725377||0.00
03/09/2013|P INT 0012345    DEP ELECT DEL DIA TRASP A BTE CONCENTRAD AUT.00097214|77,475.16|
04/09/2013|      0303092013 DEP DOCUMENTOS BNM  303092013 SUC. DEPOS AUT.00857799||3,085.32
04/09/2013|      0103092013 DEP DOCUMENTOS BNM  103092013 SUC. DEPOS AUT.00857806||7,428.84
04/09/2013|      0203092013 DEP DOCUMENTOS BNM  203092013 SUC. DEPOS AUT.00857825||12,916.75
04/09/2013|      0303092013 DEP DOCUMENTOS BNM  303092013 SUC. DEPOS AUT.00857834||38,831.77
04/09/2013|      0703092013 DEP DOCUMENTOS BNM  703092013 SUC. DEPOS AUT.00857843||80,553.03
04/09/2013|      0000000000 DEP MIXTO EFVO/DOCT  SUC. INDUST XALOSTO AUT.00661565||824.72
04/09/2013|      0000000000 DEP CHEQUE BNM      824.72               AUT.00661565||0.00
04/09/2013|      0000000000 DEP MIXTO EFVO/DOCT  SUC. INDUST XALOSTO AUT.00661568||851.76
04/09/2013|      0000000000 DEP CHEQUE BNM      851.76               AUT.00661568||0.00
04/09/2013|      0000000000 DEP MIXTO EFVO/DOCT  SUC. INDUST XALOSTO AUT.00661575||18,656.48
04/09/2013|      0000000000 DEP CHEQUE BNM      18,656.48            AUT.00661575||0.00
04/09/2013|P INT 0012345    DEP ELECT DEL DIA TRASP BTE CONCENTRADOR AUT.00089669|142,815.71|
05/09/2013|      0304092013 DEP DOCUMENTOS BNM  304092013 SUC. DEPOS AUT.00852036||2,617.01
05/09/2013|      0304092013 DEP DOCUMENTOS BNM  304092013 SUC. DEPOS AUT.00852041||6,104.00
05/09/2013|      0104092013 DEP DOCUMENTOS BNM  104092013 SUC. DEPOS AUT.00852044||11,899.26
05/09/2013|      0204092013 DEP DOCUMENTOS BNM  204092013 SUC. DEPOS AUT.00852057||29,900.23
05/09/2013|      0704092013 DEP DOCUMENTOS BNM  704092013 SUC. DEPOS AUT.00852068||63,681.43
05/09/2013|      0000000513 CARGO X DEV CHQ BNM 513                  AUT.00852070|500.00|
05/09/2013|      0000000000 DEP MIXTO EFVO/DOCT  SUC. TORRES LINDAVI AUT.00371308||23,483.46
05/09/2013|      0000000000 DEP CHEQUE BNM      23,483.46            AUT.00371308||0.00
05/09/2013|      0000000000 DEP MIXTO EFVO/DOCT  SUC. INDUST XALOSTO AUT.00662611||12,084.00
05/09/2013|      0000000000 DEP CHEQUE BNM      12,084.00            AUT.00662611||0.00
05/09/2013|      0000000000 DEP MIXTO EFVO/DOCT  SUC. INDUST XALOSTO AUT.00662613||3,000.00
05/09/2013|      0000000000 DEP CHEQUE BNM      3,000.00             AUT.00662613||0.00
05/09/2013|P INT 0012345    DEP ELECT DEL DIA TRASP BTE CONCENTRA    AUT.00108667|113,701.93|
05/09/2013|      0305092013 DEP DOCUMENTOS BNM  305092013 SUC. DEPOS AUT.00867678||13,441.77
