Cuenta|Fecha de Operación|Referencia|Descripcion|Cod. Transac|Sucursal|Depósitos|Retiros|Saldo|Movimiento|Descripción Detallada

0515492550|01/07/2013|0000000000|GAS METROPOLITANO    08934481C|060|0302|$96,789.40|$0.00|$102,436.45|42356| 

0515492550|01/07/2013|0000000000|COMISION             08934481C|600|0302|$0.00|$1,839.00|$100,597.45|42357| 

0515492550|01/07/2013|0000000000|IVA COMISION         08934481C|601|0302|$0.00|$294.24|$100,303.21|42358| 

0515492550|01/07/2013|0000000000|GAS METROPOLITANO    08934481C|060|0302|$16,369.47|$0.00|$116,672.68|42359|No. de Pagos 03     Tipo de Plan 03    Periodo de Gracia 00

0515492550|01/07/2013|0000000000|COMISION             08934481C|600|0302|$0.00|$311.02|$116,361.66|42360|No. de Pagos 03     Tipo de Plan 03    Periodo de Gracia 00

0515492550|01/07/2013|0000000000|IVA COMISION         08934481C|601|0302|$0.00|$49.76|$116,311.90|42361|No. de Pagos 03     Tipo de Plan 03    Periodo de Gracia 00

0515492550|01/07/2013|0000000000|COMISION PAGOS DIF.  08934481C|600|0302|$0.00|$674.43|$115,637.47|42362|No. de Pagos 03     Tipo de Plan 03    Periodo de Gracia 00

0515492550|01/07/2013|0000000000|IVA COMISION PAG.DIF 08934481C|601|0302|$0.00|$107.91|$115,529.56|42363|No. de Pagos 03     Tipo de Plan 03    Periodo de Gracia 00

0515492550|01/07/2013|0000000000|GAS METROPOLITANO    08934481D|060|0302|$10,534.33|$0.00|$126,063.89|42364| 

0515492550|01/07/2013|0000000000|COMISION             08934481D|600|0302|$0.00|$84.27|$125,979.62|42365| 

0515492550|01/07/2013|0000000000|IVA COMISION         08934481D|601|0302|$0.00|$13.48|$125,966.14|42366| 

0515492550|01/07/2013|0000000000|GAS METROPOLITANO    09083023C|060|0302|$572,683.37|$0.00|$698,649.51|42367| 

0515492550|01/07/2013|0000000000|COMISION             09083023C|600|0302|$0.00|$10,880.99|$687,768.52|42368| 

0515492550|01/07/2013|0000000000|IVA COMISION         09083023C|601|0302|$0.00|$1,740.95|$686,027.57|42369| 

0515492550|01/07/2013|0000000000|GAS METROPOLITANO    09083023D|060|0302|$322,257.41|$0.00|$1,008,284.98|42370| 

0515492550|01/07/2013|0000000000|COMISION             09083023D|600|0302|$0.00|$2,538.05|$1,005,746.93|42371| 

0515492550|01/07/2013|0000000000|IVA COMISION         09083023D|601|0302|$0.00|$406.09|$1,005,340.84|42372| 

0515492550|01/07/2013|0000000000|GAS METROPOLITANO I  07191552C|060|0302|$2,784.60|$0.00|$1,008,125.44|42373| 

0515492550|01/07/2013|0000000000|COMISION             07191552C|600|0302|$0.00|$52.91|$1,008,072.53|42374| 

0515492550|01/07/2013|0000000000|IVA COMISION         07191552C|601|0302|$0.00|$8.47|$1,008,064.06|42375| 

0515492550|01/07/2013|0000000000|GAS METROPOLITANO I  07191552D|060|0302|$643.11|$0.00|$1,008,707.17|42376| 

0515492550|01/07/2013|0000000000|COMISION             07191552D|600|0302|$0.00|$5.14|$1,008,702.03|42377| 

0515492550|01/07/2013|0000000000|IVA COMISION         07191552D|601|0302|$0.00|$0.82|$1,008,701.21|42378| 

0515492550|01/07/2013|0000000000|GAS METROPOLITANO    07192312C|060|0302|$143,665.52|$0.00|$1,152,366.73|42379| 

0515492550|01/07/2013|0000000000|COMISION             07192312C|600|0302|$0.00|$2,729.65|$1,149,637.08|42380| 

0515492550|01/07/2013|0000000000|IVA COMISION         07192312C|601|0302|$0.00|$436.74|$1,149,200.34|42381| 

0515492550|01/07/2013|0000000000|GAS METROPOLITANO    07192312D|060|0302|$73,023.43|$0.00|$1,222,223.77|42382| 

0515492550|01/07/2013|0000000000|COMISION             07192312D|600|0302|$0.00|$584.19|$1,221,639.58|42383| 

0515492550|01/07/2013|0000000000|IVA COMISION         07192312D|601|0302|$0.00|$93.47|$1,221,546.11|42384| 

0515492550|01/07/2013|0000000000|GAS METROPOLITANO    08934481|602|0290|$0.00|$444.00|$1,221,102.11|42385|CONTRACARGO APLICADO AFIL. 08934481, TARJ.NO.4931********0330 F.TRANS.24-04-2013 NO.AUT.959102, FOLIO CLIENTE:0002013061400155, RAZON: 079 DOCUMENTO NO ATENDIDO

0515492550|01/07/2013|0000000000|TRASPASO A CUENTA PROPIA|790|8846|$0.00|$1,215,000.00|$6,102.11|42386|IVA:00000000.00    , A LA CUENTA 0004686365, Traspaso Tpv a Concentr AL R.F.C. GME540707CD1

0515492550|01/07/2013|0000000000|GAS METROPOLITANO    07192312D|060|0302|$2,200.10|$0.00|$8,302.21|42387| 

0515492550|01/07/2013|0000000000|COMISION             07192312D|600|0302|$0.00|$17.60|$8,284.61|42388| 

0515492550|01/07/2013|0000000000|IVA COMISION         07192312D|601|0302|$0.00|$2.82|$8,281.79|42389| 

0515492550|02/07/2013|0000000000|GAS METROPOLITANO    09083023C|060|0302|$172,225.87|$0.00|$180,507.66|42390| 

0515492550|02/07/2013|0000000000|COMISION             09083023C|600|0302|$0.00|$3,272.29|$177,235.37|42391| 

0515492550|02/07/2013|0000000000|IVA COMISION         09083023C|601|0302|$0.00|$523.57|$176,711.80|42392| 

0515492550|02/07/2013|0000000000|GAS METROPOLITANO    09083023D|060|0302|$115,382.98|$0.00|$292,094.78|42393| 

0515492550|02/07/2013|0000000000|COMISION             09083023D|600|0302|$0.00|$923.06|$291,171.72|42394| 

0515492550|02/07/2013|0000000000|IVA COMISION         09083023D|601|0302|$0.00|$147.69|$291,024.03|42395| 

0515492550|02/07/2013|0000000000|GAS METROPOLITANO    08934481C|060|0302|$56,268.66|$0.00|$347,292.69|42396| 

0515492550|02/07/2013|0000000000|COMISION             08934481C|600|0302|$0.00|$1,069.10|$346,223.59|42397| 

0515492550|02/07/2013|0000000000|IVA COMISION         08934481C|601|0302|$0.00|$171.06|$346,052.53|42398| 

0515492550|02/07/2013|0000000000|GAS METROPOLITANO    08934481C|060|0302|$2,704.41|$0.00|$348,756.94|42399|No. de Pagos 03     Tipo de Plan 03    Periodo de Gracia 00

0515492550|02/07/2013|0000000000|COMISION             08934481C|600|0302|$0.00|$51.38|$348,705.56|42400|No. de Pagos 03     Tipo de Plan 03    Periodo de Gracia 00

0515492550|02/07/2013|0000000000|IVA COMISION         08934481C|601|0302|$0.00|$8.22|$348,697.34|42401|No. de Pagos 03     Tipo de Plan 03    Periodo de Gracia 00

0515492550|02/07/2013|0000000000|COMISION PAGOS DIF.  08934481C|600|0302|$0.00|$111.42|$348,585.92|42402|No. de Pagos 03     Tipo de Plan 03    Periodo de Gracia 00

0515492550|02/07/2013|0000000000|IVA COMISION PAG.DIF 08934481C|601|0302|$0.00|$17.83|$348,568.09|42403|No. de Pagos 03     Tipo de Plan 03    Periodo de Gracia 00

0515492550|02/07/2013|0000000000|GAS METROPOLITANO    08934481D|060|0302|$3,660.40|$0.00|$352,228.49|42404| 

0515492550|02/07/2013|0000000000|COMISION             08934481D|600|0302|$0.00|$29.28|$352,199.21|42405| 

0515492550|02/07/2013|0000000000|IVA COMISION         08934481D|601|0302|$0.00|$4.69|$352,194.52|42406| 

0515492550|02/07/2013|0000000000|GAS METROPOLITANO    07192312C|060|0302|$32,982.02|$0.00|$385,176.54|42407| 

0515492550|02/07/2013|0000000000|COMISION             07192312C|600|0302|$0.00|$626.66|$384,549.88|42408| 

0515492550|02/07/2013|0000000000|IVA COMISION         07192312C|601|0302|$0.00|$100.27|$384,449.61|42409| 

0515492550|02/07/2013|0000000000|GAS METROPOLITANO    07192312D|060|0302|$36,598.65|$0.00|$421,048.26|42410| 

0515492550|02/07/2013|0000000000|COMISION             07192312D|600|0302|$0.00|$292.79|$420,755.47|42411| 

0515492550|02/07/2013|0000000000|IVA COMISION         07192312D|601|0302|$0.00|$46.85|$420,708.62|42412| 

0515492550|02/07/2013|0000000000|GAS METROPOLITANO I  07191552D|060|0302|$1,498.50|$0.00|$422,207.12|42413| 

0515492550|02/07/2013|0000000000|COMISION             07191552D|600|0302|$0.00|$11.99|$422,195.13|42414| 

0515492550|02/07/2013|0000000000|IVA COMISION         07191552D|601|0302|$0.00|$1.92|$422,193.21|42415| 

0515492550|03/07/2013|0000000000|GAS METROPOLITANO    09083023C|060|0302|$185,177.66|$0.00|$607,370.87|42416| 

0515492550|03/07/2013|0000000000|COMISION             09083023C|600|0302|$0.00|$3,518.38|$603,852.49|42417| 

0515492550|03/07/2013|0000000000|IVA COMISION         09083023C|601|0302|$0.00|$562.94|$603,289.55|42418| 

0515492550|03/07/2013|0000000000|GAS METROPOLITANO    09083023D|060|0302|$108,237.35|$0.00|$711,526.90|42419| 

0515492550|03/07/2013|0000000000|COMISION             09083023D|600|0302|$0.00|$840.15|$710,686.75|42420| 

0515492550|03/07/2013|0000000000|IVA COMISION         09083023D|601|0302|$0.00|$134.42|$710,552.33|42421| 

0515492550|03/07/2013|0000000000|GAS METROPOLITANO I  07191552C|060|0302|$666.00|$0.00|$711,218.33|42422| 

0515492550|03/07/2013|0000000000|COMISION             07191552C|600|0302|$0.00|$12.65|$711,205.68|42423| 

0515492550|03/07/2013|0000000000|IVA COMISION         07191552C|601|0302|$0.00|$2.02|$711,203.66|42424| 

0515492550|03/07/2013|0000000000|GAS METROPOLITANO    08934481C|060|0302|$25,640.30|$0.00|$736,843.96|42425| 

0515492550|03/07/2013|0000000000|COMISION             08934481C|600|0302|$0.00|$487.17|$736,356.79|42426| 

0515492550|03/07/2013|0000000000|IVA COMISION         08934481C|601|0302|$0.00|$77.95|$736,278.84|42427| 

0515492550|03/07/2013|0000000000|GAS METROPOLITANO    08934481C|060|0302|$1,332.00|$0.00|$737,610.84|42428|No. de Pagos 03     Tipo de Plan 03    Periodo de Gracia 00

0515492550|03/07/2013|0000000000|COMISION             08934481C|600|0302|$0.00|$25.31|$737,585.53|42429|No. de Pagos 03     Tipo de Plan 03    Periodo de Gracia 00

0515492550|03/07/2013|0000000000|IVA COMISION         08934481C|601|0302|$0.00|$4.05|$737,581.48|42430|No. de Pagos 03     Tipo de Plan 03    Periodo de Gracia 00

0515492550|03/07/2013|0000000000|COMISION PAGOS DIF.  08934481C|600|0302|$0.00|$54.88|$737,526.60|42431|No. de Pagos 03     Tipo de Plan 03    Periodo de Gracia 00

0515492550|03/07/2013|0000000000|IVA COMISION PAG.DIF 08934481C|601|0302|$0.00|$8.78|$737,517.82|42432|No. de Pagos 03     Tipo de Plan 03    Periodo de Gracia 00

0515492550|03/07/2013|0000000000|GAS METROPOLITANO    08934481D|060|0302|$1,575.69|$0.00|$739,093.51|42433| 

0515492550|03/07/2013|0000000000|COMISION             08934481D|600|0302|$0.00|$12.61|$739,080.90|42434| 

0515492550|03/07/2013|0000000000|IVA COMISION         08934481D|601|0302|$0.00|$2.02|$739,078.88|42435| 

0515492550|03/07/2013|0000000000|GAS METROPOLITANO    07192312C|060|0302|$25,442.70|$0.00|$764,521.58|42436| 

0515492550|03/07/2013|0000000000|COMISION             07192312C|600|0302|$0.00|$483.41|$764,038.17|42437| 

0515492550|03/07/2013|0000000000|IVA COMISION         07192312C|601|0302|$0.00|$77.35|$763,960.82|42438| 

0515492550|03/07/2013|0000000000|GAS METROPOLITANO    07192312D|060|0302|$34,554.42|$0.00|$798,515.24|42439| 

0515492550|03/07/2013|0000000000|COMISION             07192312D|600|0302|$0.00|$276.44|$798,238.80|42440| 

0515492550|03/07/2013|0000000000|IVA COMISION         07192312D|601|0302|$0.00|$44.23|$798,194.57|42441| 

0515492550|03/07/2013|0000000000|GAS METROPOLITANO    07192312D|060|0302|$4,511.70|$0.00|$802,706.27|42442| 

0515492550|03/07/2013|0000000000|COMISION             07192312D|600|0302|$0.00|$36.09|$802,670.18|42443| 

0515492550|03/07/2013|0000000000|IVA COMISION         07192312D|601|0302|$0.00|$5.78|$802,664.40|42444| 

0515492550|03/07/2013|0000000000|RENTA MENSUAL         08934481|600|0302|$0.00|$150.00|$802,514.40|42445| 

0515492550|03/07/2013|0000000000|I.V.A. COMISION       08934481|601|0302|$0.00|$24.00|$802,490.40|42446| 

0515492550|03/07/2013|0000000000|RENTA MENSUAL         09083023|600|0302|$0.00|$150.00|$802,340.40|42447| 

0515492550|03/07/2013|0000000000|I.V.A. COMISION       09083023|601|0302|$0.00|$24.00|$802,316.40|42448| 

0515492550|03/07/2013|0000000000|RENTA MENSUAL         09833005|600|0302|$0.00|$150.00|$802,166.40|42449| 

0515492550|03/07/2013|0000000000|I.V.A. COMISION       09833005|601|0302|$0.00|$24.00|$802,142.40|42450| 

0515492550|03/07/2013|0000000000|RENTA MENSUAL         07192312|600|0302|$0.00|$150.00|$801,992.40|42451| 

0515492550|03/07/2013|0000000000|I.V.A. COMISION       07192312|601|0302|$0.00|$24.00|$801,968.40|42452| 

0515492550|03/07/2013|0000000000|RENTA MENSUAL         07191552|600|0302|$0.00|$450.00|$801,518.40|42453| 

0515492550|03/07/2013|0000000000|I.V.A. COMISION       07191552|601|0302|$0.00|$72.00|$801,446.40|42454| 

