NumFactura|Referencia1|Referencia2|Referencia3|Referencia4|Importe Bruto|Descuentos/Recargos|Importe Neto|Medio de Pago|Forma de Pago|Folio de Pago|Sucursal|Hora|Fecha Vencimiento|Fecha de Pago
36674|0000000000000000000000000000001000044253||||$282.00|$0.00|$282.00|Internet|CargoCuentaCheques|85023190077535036674 |8502|08:59:00 a.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023358723||||$215.00|$0.00|$215.00|Ventanilla|Efectivo|21623190018503036674 |2162|09:03:26 a.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023431405||||$164.00|$0.00|$164.00|Ventanilla|Efectivo|21623190022975036674 |2162|09:07:50 a.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023252959||||$247.00|$0.00|$247.00|Ventanilla|Efectivo|00153190027861036674 |0015|09:10:28 a.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023252959||||$150.00|$0.00|$150.00|Ventanilla|Efectivo|00153190025921036674 |0015|09:10:49 a.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005025596205||||$213.00|$0.00|$213.00|Ventanilla|Efectivo|19393190030996036674 |1939|09:15:24 a.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000001000008555||||$346.00|$0.00|$346.00|Ventanilla|Efectivo|06863190044965036674 |0686|09:28:43 a.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023296360||||$700.00|$0.00|$700.00|Ventanilla|Efectivo|11953190046510036674 |1195|09:30:00 a.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023130981||||$123.00|$0.00|$123.00|Ventanilla|Efectivo|24433190051963036674 |2443|09:33:11 a.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000001000008548||||$116.00|$0.00|$116.00|Ventanilla|Efectivo|20793190051763036674 |2079|09:33:40 a.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005026665439||||$125.00|$0.00|$125.00|Ventanilla|Efectivo|20843190063338036674 |2084|09:44:06 a.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023987729||||$108.00|$0.00|$108.00|Ventanilla|Efectivo|11953190080936036674 |1195|09:58:34 a.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005026620665||||$390.00|$0.00|$390.00|Ventanilla|Efectivo|13283190080355036674 |1328|09:59:07 a.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005025994160||||$388.00|$0.00|$388.00|Ventanilla|Efectivo|24443190099281036674 |2444|10:13:37 a.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023896458||||$181.00|$0.00|$181.00|Ventanilla|Efectivo|21623190005821036674 |2162|10:20:14 a.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005026593102||||$73.00|$0.00|$73.00|Ventanilla|Efectivo|23533190037361036674 |2353|10:41:48 a.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000001000042323||||$606.00|$0.00|$606.00|Ventanilla|CargoCuentaInversiones|00033190040022036674 |0003|10:43:48 a.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023554446||||$179.00|$0.00|$179.00|Ventanilla|Efectivo|13283190079712036674 |1328|11:09:35 a.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023387581||||$146.00|$0.00|$146.00|Ventanilla|Efectivo|20323190081547036674 |2032|11:11:59 a.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005026023910||||$92.00|$0.00|$92.00|Ventanilla|Efectivo|19463190084770036674 |1946|11:13:08 a.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023619827||||$124.00|$0.00|$124.00|Ventanilla|Efectivo|21623190012266036674 |2162|11:23:27 a.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005026593045||||$150.00|$0.00|$150.00|Ventanilla|Efectivo|11893190038162036674 |1189|11:39:42 a.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005026620640||||$283.00|$0.00|$283.00|Ventanilla|Efectivo|13283190045029036674 |1328|11:57:53 a.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005025856864||||$232.00|$0.00|$232.00|Ventanilla|Efectivo|22663190060594036674 |2266|12:05:43 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023858086||||$182.00|$0.00|$182.00|Ventanilla|Efectivo|13243190063735036674 |1324|12:06:40 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005025539577||||$153.00|$0.00|$153.00|Ventanilla|Efectivo|05583190061799036674 |0558|12:09:12 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005026394832||||$255.00|$0.00|$255.00|Ventanilla|Efectivo|22683190070005036674 |2268|12:12:41 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005026308907||||$265.00|$0.00|$265.00|Ventanilla|Efectivo|19513190026552036674 |1951|12:33:29 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000001000042687||||$418.00|$0.00|$418.00|Ventanilla|Efectivo|25583190021251036674 |2558|12:46:46 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023618076||||$281.00|$0.00|$281.00|Ventanilla|Efectivo|21623190025348036674 |2162|12:50:09 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005026665306||||$509.00|$0.00|$509.00|Ventanilla|Efectivo|20843190029501036674 |2084|12:51:23 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023547879||||$181.00|$0.00|$181.00|Ventanilla|Efectivo|06883190039187036674 |0688|12:57:22 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005026159953||||$370.00|$0.00|$370.00|Ventanilla|Efectivo|06913190052019036674 |0691|01:06:02 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005026159953||||$238.00|$0.00|$238.00|Ventanilla|Efectivo|06913190053283036674 |0691|01:06:51 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000001000152312||||$520.00|$0.00|$520.00|Ventanilla|Efectivo|07063190054764036674 |0706|01:08:30 p.m.|00/00/0000|09/07/2013
