Fecha	Transaccion	Concepto	Retiro	Abono	SaldoFinal	Moviento	C1	C2	Referencia	C3	C4	C5	C6
09-May-14	247071	5026677434                       0080514	0	160	150900.64	5211	24899	                	                                        	802	0	0	74821
09-May-14	33017	ABONO 0407                              	0	311	151211.64	5503	24900	                	5025916254	802	0	0	81132
09-May-14	47925	ABONO 0407                              	0	553	151764.64	5503	24901	                	5023638561	802	0	0	84106
09-May-14	41234	TRANSFERENCIA BPI DESDE LA CUENTA 1599  	0	203	151967.64	1011	24902	                	                                        	802	0	0	92827
09-May-14	0	ABONO 0100                              	0	109	152076.64	5503	24903	                	5026175157	1574	0	0	94409
09-May-14	0	ABONO 0100                              	0	105	152181.64	5503	24904	                	5023646010	24	0	0	94604
09-May-14	30738	ABONO 0407                              	0	190	152371.64	5503	24905	                	5025764936	802	0	0	100041
09-May-14	41234	TRANSFERENCIA BPI DESDE LA CUENTA 0742  	0	190	152561.64	1011	24906	                	                                        	802	0	0	102958
09-May-14	277632	PAGO MARZO                       0000001	0	230	152791.64	5211	24907	                	                                        	802	0	0	105215
09-May-14	0	ABONO 0100                              	0	260	153051.64	5503	24908	                	1000045920	29	0	0	105757
09-May-14	0	ABONO 0100                              	0	59	153110.64	5503	24909	                	1000044873	18	0	0	110205
09-May-14	0	ABONO 0100                              	0	179	153289.64	5503	24910	                	5023249237	643	0	0	111419
09-May-14	0	ABONO 0100                              	0	1014	154303.64	5503	24911	                	1000033074	25	0	0	112932
09-May-14	283250	5023618993                       0090514	0	214	154517.64	5211	24912	                	                                        	802	0	0	113313
09-May-14	0	ABONO 0100                              	0	173	154690.64	5503	24913	                	5023473936	1149	0	0	120443
09-May-14	0	ABONO 0100                              	0	314	155004.64	5503	24914	                	1000010494	77	0	0	120831
09-May-14	0	ABONO 0100                              	0	1647	156651.64	5503	24915	                	5025746685	54	0	0	121307
09-May-14	0	ABONO 0100                              	0	267	156918.64	5503	24916	                	5023952293	643	0	0	121844
09-May-14	0	ABONO 0100                              	0	650	157568.64	5503	24917	                	5025725499	34	0	0	122621
09-May-14	291422	5026317007                       0129330	0	221	157789.64	5211	24918	                	                                        	802	0	0	122802
09-May-14	0	ABONO 0100                              	0	265	158054.64	5503	24919	                	5023293920	582	0	0	130239
09-May-14	0	ABONO 0100                              	0	394	158448.64	5503	24920	                	5023207268	606	0	0	131238
09-May-14	0	ABONO 0100                              	0	380	158828.64	5503	24921	                	5026263094	652	0	0	131728
09-May-14	0	ABONO 0100                              	0	279	159107.64	5503	24922	                	5023207128	606	0	0	131738
09-May-14	0	ABONO 0100                              	0	350	159457.64	5503	24923	                	5026253871	86	0	0	131914
09-May-14	0	ABONO 0100                              	0	293	159750.64	5503	24924	                	5026263607	3819	0	0	132711
09-May-14	8091	ABONO 0407                              	0	133	159883.64	5503	24925	                	5026579564	802	0	0	134419
09-May-14	0	ABONO 0100                              	0	117	160000.64	5503	24926	                	5026815281	1896	0	0	140549
09-May-14	0	ABONO 0100                              	0	159	160159.64	5503	24927	                	5026409051	542	0	0	141025
09-May-14	51931	ABONO 0407                              	0	285	160444.64	5503	24928	                	5026655919	802	0	0	141838
09-May-14	68076	ABONO 0407                              	0	379	160823.64	5503	24929	                	1000044196	802	0	0	143231
09-May-14	0	ABONO 0100                              	0	309	161132.64	5503	24930	                	5026754555	3057	0	0	144145
09-May-14	0	ABONO 0100                              	0	512	161644.64	5503	24931	                	1000038958	561	0	0	144734
09-May-14	320888	5023619165 ALEJANDRO PALACIOS SA 0000751	0	304	161948.64	5211	24932	                	                                        	802	0	0	150051
09-May-14	0	ABONO 0100                              	0	110	162058.64	5503	24933	                	5023274755	513	0	0	153032
09-May-14	0	ABONO 0100                              	0	340	162398.64	5503	24934	                	5023301228	63	0	0	155813
09-May-14	0	ABONO 0100                              	0	231	162629.64	5503	24935	                	5023271199	628	0	0	160648
09-May-14	0	ABONO 0100                              	0	157	162786.64	5503	24936	                	5023271199	628	0	0	160651
09-May-14	41234	TRANSFERENCIA BPI DESDE LA CUENTA 6440  	0	743	163529.64	1011	24937	                	                                        	802	0	0	160823
