Cuenta|Fecha de Operación|Referencia|Descripcion|Cod. Transac|Sucursal|Depósitos|Retiros|Saldo|Movimiento|Descripción Detallada
0004686365|01/07/2013|0000000000|DEPOSITO EN EFECTIVO|000|0357|$600.00|$0.00|$260,136.90|294968|MEXICO
0004686365|01/07/2013|0000000000|DEPOSITO EN EFECTIVO|000|0357|$20,621.60|$0.00|$280,758.50|294969|MEXICO
0004686365|01/07/2013|0000000000|DEPOSITO EN EFECTIVO|000|0357|$1,730.00|$0.00|$282,488.50|294970|MEXICO
0004686365|01/07/2013|0000000000|DEPOSITO EN EFECTIVO|000|0357|$43,352.50|$0.00|$325,841.00|294971|MEXICO
0004686365|01/07/2013|0000000000|DEPOSITO EN EFECTIVO|000|0357|$21,499.70|$0.00|$347,340.70|294972|MEXICO
0004686365|01/07/2013|0000000000|DEP. REMOTO CH. SBC 0001012|006|4543|$2,141.19|$0.00|$349,481.89|294973|CHEQUE RECIBIDO SBC POR SERVICIO DE DEPOSITOS REMOTOS, BCO. 032 CTA. 00017314402 NO.CHEQUE 0001012, REFERENCIA:
0004686365|01/07/2013|0000000000|DEP. REMOTO CH. SBC 0004134|006|4543|$3,465.77|$0.00|$352,947.66|294974|CHEQUE RECIBIDO SBC POR SERVICIO DE DEPOSITOS REMOTOS, BCO. 032 CTA. 00014888963 NO.CHEQUE 0004134, REFERENCIA:
0004686365|01/07/2013|0000000000|DEP. REMOTO CH. SBC 0003814|006|4543|$5,587.67|$0.00|$358,535.33|294975|CHEQUE RECIBIDO SBC POR SERVICIO DE DEPOSITOS REMOTOS, BCO. 032 CTA. 00015628744 NO.CHEQUE 0003814, REFERENCIA:
0004686365|01/07/2013|0000000000|DEP. REMOTO CH. SBC 0782379|006|4543|$2,002.26|$0.00|$360,537.59|294976|CHEQUE RECIBIDO SBC POR SERVICIO DE DEPOSITOS REMOTOS, BCO. 032 CTA. 00015198111 NO.CHEQUE 0782379, REFERENCIA:
0004686365|01/07/2013|0000000000|DEP. REMOTO CH. SBC 9918612|006|4543|$7,239.96|$0.00|$367,777.55|294977|CHEQUE RECIBIDO SBC POR SERVICIO DE DEPOSITOS REMOTOS, BCO. 032 CTA. 00013178792 NO.CHEQUE 9918612, REFERENCIA:
0004686365|01/07/2013|0000000000|DEP. REMOTO CH. SBC 9213188|006|4543|$17,029.76|$0.00|$384,807.31|294978|CHEQUE RECIBIDO SBC POR SERVICIO DE DEPOSITOS REMOTOS, BCO. 032 CTA. 00013114328 NO.CHEQUE 9213188, REFERENCIA:
