D?	Concepto / Referencia	cargo	Abono	Saldo
24/09/2013	CE00000000005023356560/1994751 GAS                           0729426		107	"149,208.49"
23/09/2013	CB00000000000002012037/9427539                               0729426		"14,225.08"	"149,101.49"
23/09/2013	CHEQUE DEVUELTO BANCOMER/0898685 0729426 CIE000000000000020120370559CD01017	946.4		"134,876.41"
23/09/2013	CHEQUE DEVUELTO BANCOMER/0976219 0729426 CIE000000000000020120370559CD01017	"1,368.89"		"135,822.81"
23/09/2013	CB00000000000002012037/9427528                               0729426		"16,698.67"	"137,191.70"
23/09/2013	CB00000000000002012011/9427517                               0729426		"15,811.28"	"120,493.03"
23/09/2013	CB00000000000002012078/9427506                               0729426		"9,952.68"	"104,681.75"
23/09/2013	CB00000000000002012011/9427495                               0729426		"3,525.00"	"94,729.07"
23/09/2013	CE00000000000030108591/0163603 CARUSO NO 179                 0729426		"2,798.64"	"91,204.07"
23/09/2013	DEPOSITO CHEQUE BANCOMER/0019125  		"6,330.69"	"88,405.43"
23/09/2013	DEPOSITO CHEQUE BANCOMER/0019123  		"46,267.20"	"82,074.74"
23/09/2013	DEPOSITO CHEQUE BANCOMER/0019121  		"5,185.49"	"35,807.54"
23/09/2013	SPEI ENVIADO BANORTE/0000031962  072 0210913TRASPASO BANCOMER A BANORTE CO	"39,705.46"		"30,622.05"
23/09/2013	CB00000000000002012037/9071975                               0729426		"25,192.98"	"70,327.51"
23/09/2013	CB00000000000002012011/9071964                               0729426		"7,752.00"	"45,134.53"
23/09/2013	CB00000000000002012078/9071953                               0729426		"6,260.24"	"37,382.53"
23/09/2013	CB00000000000002012037/9071942                               0729426		500.24	"31,122.29"
20/09/2013	SPEI ENVIADO BANORTE/0000062058  072 0200913TRASPASO BANCOMER A BANORTE CO	"160,974.42"		"30,622.05"
20/09/2013	DEPOSITO CHEQUE BANCOMER/0019114  		"2,480.92"	"191,596.47"
20/09/2013	DEPOSITO CHEQUE BANCOMER/0019113  		"1,690.00"	"189,115.55"
