Fecha,C1,Descripcion,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
14/08/2013,0,Ref 5026042803                 2794490  ,0,120,23639.26,5848,14148,                ,                                        ,802,   ,  ,232644

14/08/2013,119147,Orizaba 170 desp 302 col roma    1111111,0,636,24275.26,5211,14149,                ,                                        ,802,0,0,60600

14/08/2013,47566,ABONO 0407                              ,0,207,24482.26,5503,14150,                ,5023953499,802,0,0,91045

14/08/2013,0,ABONO 0100                              ,0,162,24644.26,5503,14151,                ,5023561268,439,0,0,91356

14/08/2013,0,ABONO 0100                              ,0,221,24865.26,5503,14152,                ,1000043347,998,0,0,91613

14/08/2013,0,ABONO 0100                              ,0,124,24989.26,5503,14153,                ,5026515022,29,0,0,93613

14/08/2013,0,ABONO 0100                              ,0,374,25363.26,5503,14154,                ,5023407611,59,0,0,94612

14/08/2013,0,ABONO 0100                              ,0,417,25780.26,5503,14155,                ,5025924571,499,0,0,100520

14/08/2013,0,ABONO 0100                              ,0,190,25970.26,5503,14156,                ,5026316728,3026,0,0,100734

14/08/2013,0,ABONO 0100                              ,0,382,26352.26,5503,14157,                ,5023465692,3557,0,0,103555

14/08/2013,0,ABONO 0100                              ,0,240,26592.26,5503,14158,                ,5026579457,617,0,0,110428

14/08/2013,139364,"SERGIO,REYES/CORDOVA             0090937",0,201,26793.26,5211,14159,                ,                                        ,802,0,0,110439

14/08/2013,0,ABONO 0100                              ,0,788,27581.26,5503,14160,                ,5023356081,3803,0,0,111204

14/08/2013,0,ABONO 0100                              ,0,923,28504.26,5503,14161,                ,5026042944,77,0,0,113129

14/08/2013,0,ABONO 0100                              ,0,89,28593.26,5503,14162,                ,5023354201,1149,0,0,113506

14/08/2013,0,ABONO 0100                              ,0,295,28888.26,5503,14163,                ,5026579887,499,0,0,114427

14/08/2013,15013,CGO TRASPASO A CTA CONCENTRADORA BANORTE,25000,0,3888.26,5209,14164,                ,                                        ,802,0,0,120028

14/08/2013,146927,PAGO AGOSTO OCOTAL B402          5023547,0,373,4261.26,5211,14165,                ,                                        ,802,0,0,120830

14/08/2013,0,ABONO 0100                              ,0,404,4665.26,5503,14166,                ,5023310302,498,0,0,121347

14/08/2013,0,ABONO 0100                              ,0,331,4996.26,5503,14167,                ,5023561219,6,0,0,124200

14/08/2013,0,ABONO 0100                              ,0,636,5632.26,5503,14168,                ,1000039154,57,0,0,124255

14/08/2013,0,ABONO 0100                              ,0,339,5971.26,5503,14169,                ,5023716136,1991,0,0,133230

14/08/2013,0,ABONO 0100                              ,0,208,6179.26,5503,14170,                ,1000042315,50,0,0,134712

14/08/2013,0,ABONO 0100                              ,0,226,6405.26,5503,14171,                ,5023720450,566,0,0,140204

14/08/2013,0,ABONO 0100                              ,0,188,6593.26,5503,14172,                ,5023431371,643,0,0,140233

14/08/2013,0,ABONO 0100                              ,0,229,6822.26,5503,14173,                ,5023368052,497,0,0,140748

14/08/2013,0,ABONO 0100                              ,0,59,6881.26,5503,14174,                ,5026175389,835,0,0,144008

14/08/2013,2960,ABONO 0407                              ,0,187,7068.26,5503,14175,                ,5023359028,802,0,0,150259

14/08/2013,0,ABONO 0100                              ,0,1215,8283.26,5503,14176,                ,1000038990,561,0,0,153413

14/08/2013,0,ABONO 0100                              ,0,148,8431.26,5503,14177,                ,5023769382,38,0,0,153634

14/08/2013,0,ABONO 0100                              ,0,293,8724.26,5503,14178,                ,5023125320,628,0,0,155314

14/08/2013,0,ABONO 0100                              ,0,151,8875.26,5503,14179,                ,5026305119,1903,0,0,155611

14/08/2013,0,ABONO 0100                              ,0,308,9183.26,5503,14180,                ,5023567364,3803,0,0,155643

14/08/2013,52968,ABONO 0407                              ,0,181,9364.26,5503,14181,                ,1000026474,802,0,0,160201

14/08/2013,0,ABONO 0100                              ,0,269,9633.26,5503,14182,                ,5023716094,1,0,0,160626

14/08/2013,0,ABONO 0100                              ,0,208,9841.26,5503,14183,                ,5023715930,1,0,0,162434

14/08/2013,41234,TRANSFERENCIA BPI DESDE LA CUENTA 8963  ,0,1104,10945.26,1011,14184,                ,                                        ,802,0,0,165725

14/08/2013,5087,ABONO 0407                              ,0,370,11315.26,5503,14185,                ,5023202905,802,0,0,170126

14/08/2013,194156,VITA 505                         1130505,0,214,11529.26,5211,14186,                ,                                        ,802,0,0,172347

14/08/2013,21300,ABONO 0407                              ,0,99,11628.26,5503,14187,                ,5023551806,802,0,0,205611

14/08/2013,0,00 COMISION SPEI 01501320130814HSBC01501,8,0,11620.26,1357,14188,                ,                                        ,802,   ,  ,224247

14/08/2013,0,I.V.A.                                  ,1.28,0,11618.98,1501,14189,                ,                                        ,802,   ,  ,224247

14/08/2013,0,01CGO SER RAP JULIO 1094 PAGOS          ,8752,0,2866.98,1539,14190,                ,                                        ,802,   ,  ,224247

14/08/2013,0,I.V.A.                                  ,1400.32,0,1466.66,1501,14191,                ,                                        ,802,   ,  ,224247
